학교종류,시도,학교명,본분교,학교상태,설립,주소,홈페이지
전문대학(3년제),강원,강원도립대학,본교,기존,공립,강원 강릉시 주문진읍 연주로 270,http://www.gw.ac.kr
전문대학(3년제),경북,경북도립대학교,본교,학교명 변경,공립,경북 예천군 예천읍 도립대학길 114(청복리947-1),www.gpc.ac.kr
전문대학(3년제),충남,충남도립청양대학,본교,기존,공립,충남 청양군 청양읍 충남도립청양대학 ,www.cyc.ac.kr
전문대학(3년제),경기,한국복지대학교,본교,기존,국립,경기 평택시 장안동 5-3,http://www.knuw.ac.kr
전문대학(3년제),경북,가톨릭상지대학교,본교,기존,사립,경북 안동시 상지길 45(율세동 393),www.csj.ac.kr
전문대학(3년제),전북,군산간호대학교,본교,기존,사립,전북 군산시 동개정길 7 (개정동),www.kcn.ac.kr
전문대학(3년제),경남,거제대학교,본교,기존,사립,경남 거제시 마전1길 91,www.koje.ac.kr
전문대학(3년제),부산,경남정보대학교,본교,기존,사립,부산광역시 사상구 주례로 45 경남정보대학교,www.kit.ac.kr
전문대학(3년제),경기,경민대학교,본교,기존,사립,경기 의정부시 서부로 545(가능3동 562-1) 경민대학,http://www.kyungmin.ac.kr
전문대학(3년제),경북,대구미래대학교,본교,기존,사립,경북 경산시 미래로 114 대구미래대학교 ,http://www.dfc.ac.kr
전문대학(3년제),경북,경북전문대학교,본교,기존,사립,경북 영주시 대학로 77 경북전문대학교,http://www.kbc.ac.kr
전문대학(3년제),경기,경복대학교,본교,기존,사립,경기 포천시 신북면 경복대학교 ,www.kbu.ac.kr
전문대학(3년제),인천,경인여자대학교,본교,기존,사립,인천 계양구 계산2동 548-4,www.kic.ac.kr
전문대학(3년제),경북,서라벌대학교,본교,기존,사립,경북 경주시 충효동 165번지 서라벌대학교,http://first.sorabol.ac.kr
전문대학(3년제),전남,광양보건대학교,본교,기존,사립,전남 광양시 광양읍 광양보건대학 ,www.kwangyang.ac.kr
전문대학(3년제),광주,광주보건대학교,본교,기존,사립,광주 광산구 신창동 광주보건대학,www.ghu.ac.kr
전문대학(3년제),전북,서해대학,본교,기존,사립,전북 군산시 서해대길 6(오룡동),www.sohae.ac.kr
전문대학(3년제),전북,군장대학교,본교,기존,사립,전북 군산시 성산면 군장대학 ,www.kunjang.ac.kr
전문대학(3년제),전남,고구려대학교,본교,기존,사립,전남 나주시 다시면 837-8번지 고구려대학교 ,http://www.kgrc.ac.kr
전문대학(3년제),광주,기독간호대학교,본교,기존,사립,광주 남구 백서로70번길 6(양림동 67) 기독간호대학교,ccn.ac.kr
전문대학(3년제),전북,전주기전대학,본교,기존,사립,전북 전주시 완산구 중화산동1가  177번지 전주기전대학,www.jk.ac.kr
전문대학(3년제),경기,김포대학교,본교,기존,사립,경기 김포시 월곶면 김포대학로 97 김포대학교,www.kimpo.ac.kr
전문대학(3년제),경기,농협대학교,본교,기존,사립,경기 고양시 덕양구 서삼릉길 281 (원당동),www.nonghyup.ac.kr
전문대학(3년제),대구,대구보건대학교,본교,기존,사립,대구 북구 영송로 15(태전동),www.dhc.ac.kr
전문대학(3년제),대구,수성대학교,본교,기존,사립,대구 수성구 달구벌대로 528길 15(만촌동) 수성대학교,WWW.SC.AC.KR
전문대학(3년제),경기,대림대학교,본교,기존,사립,경기 안양시 동안구 임곡로 29(비산동) 대림대학교 ,www.daelim.ac.kr
전문대학(3년제),대전,우송정보대학,본교,기존,사립,대전 동구 자양동 우송정보대학,www.wsi.ac.kr
전문대학(3년제),경기,동남보건대학교,본교,기존,사립,경기도 수원시 장안구 천천로 74번길 50 ,www.dongnam.ac.kr
전문대학(3년제),부산,동부산대학교,본교,기존,사립,부산광역시 해운대구 운봉길60,www.dpc.ac.kr
전문대학(3년제),경기,동아방송예술대학교,본교,기존,사립,경기 안성시 삼죽면 동아방송대학교 ,www.dima.ac.kr
전문대학(3년제),전남,동아인재대학교,본교,기존,사립,전남 영암군 학산면  영산로 76-57,www.dongac.ac.kr
전문대학(3년제),서울,동양미래대학교,본교,기존,사립,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),http://www.dongyang.ac.kr/
전문대학(3년제),경기,동원대학교,본교,기존,사립,경기 광주시 곤지암읍 경충대로26 동원대학교,www.tw.ac.kr
전문대학(3년제),부산,동주대학교,본교,기존,사립,부산 사하구 사리로55번길 16(괴정동),http://www.dongju.ac.kr
전문대학(3년제),경남,마산대학교,본교,기존,사립,경남 창원시 마산회원구 내서읍 함마대로 2640(용담리),www.masan.ac.kr
전문대학(3년제),서울,명지전문대학,본교,기존,사립,서울 서대문구 가좌로 134 명지전문대학 ,www.mjc.ac.kr
전문대학(3년제),전남,목포과학대학교,본교,기존,사립,전남 목포시 영산로 413-1 (상동525),http://www.mokpo-c.ac.kr
전문대학(3년제),서울,배화여자대학교,본교,기존,사립,서울 종로구 필운대로 1길 34 배화여자대학교,www.baewha.ac.kr
전문대학(3년제),서울,삼육보건대학교,본교,학교명 변경,사립,서울 동대문구 휘경2동,http://www.shu.ac.kr
전문대학(3년제),광주,서영대학교,본교,기존,사립,광주광역시 북구 서강로 1,http://www.seoyeong.ac.kr
전문대학(3년제),서울,서울여자간호대학교,본교,기존,사립,서울 서대문구 홍제3동 서울여자간호대학,www.snjc.ac.kr
전문대학(3년제),경기,서울예술대학교,본교,기존,사립,경기 안산시 단원구 예술대학로 171,http://www.seoularts.ac.kr
전문대학(3년제),경북,성덕대학교,본교,기존,사립,경북 영천시 신녕면 화남리 1135-5,www.sdc.ac.kr
전문대학(3년제),광주,송원대학,본교,폐교,사립,광주 남구 송암로 73,www.songwon.ac.kr
전문대학(3년제),경기,수원과학대학교,본교,기존,사립,경기 화성시 정남면 보통리 수원과학대학,
전문대학(3년제),전남,청암대학교,본교,기존,사립,전남 순천시 녹색로 1641번지,www.scjc.ac.kr
전문대학(3년제),충남,신성대학교,본교,기존,사립,충남 당진시 정미면 대학로1 ,www.shinsung.ac.kr
전문대학(3년제),경북,안동과학대학교,본교,기존,사립,경북 안동시 서후면 서선길 189,www.asc.ac.kr
전문대학(3년제),경기,안산대학교,본교,기존,사립,경기 안산시 상록구 안산대학로 155(일동),www.ansan.ac.kr
전문대학(3년제),경기,연성대학교,본교,기존,사립,경기도 안양시 만안구 양화로37번길 34 연성대학교,www.yeonsung.ac.kr
전문대학(3년제),경남,연암공업대학,본교,기존,사립,경남 진주시 진주대로 629번길 35,www.yc.ac.kr
전문대학(3년제),강원,강릉영동대학교,본교,기존,사립,강원 강릉시 홍제동 1009번지,www.gyc.ac.kr
전문대학(3년제),경기,오산대학교,본교,기존,사립,경기 오산시 청학동 오산대학,www.osan.ac.kr
전문대학(3년제),경기,용인송담대학교,본교,기존,사립,경기 용인시 처인구 동부로 61 용인송담대학교,www.ysc.ac.kr
전문대학(3년제),울산,울산과학대학교,본교,기존,사립,울산 동구 봉수로 101(화정동 산160-1)번지,www.uc.ac.kr
전문대학(3년제),전북,원광보건대학교,본교,기존,사립,전라북도 익산시 익산대로 514,www.wkhc.ac.kr
전문대학(3년제),인천,인하공업전문대학,본교,기존,사립,인천 남구 용현동,http://www.inhatc.ac.kr
전문대학(3년제),서울,적십자간호대학,본교,폐교,사립,서울 종로구 경교장길8,http://redcross.cau.ac.kr
전문대학(3년제),제주,제주산업정보대학,본교,폐교,사립,제주 제주시 영평동 제주산업정보대학,www.jeju.ac.kr
전문대학(3년제),광주,조선간호대학교,본교,기존,사립,광주 동구 서석동 280번지,www.cnc.ac.kr
전문대학(3년제),경남,진주보건대학교,본교,기존,사립,경남 진주시 상봉서동 진주보건대학,www.jhc.ac.kr
전문대학(3년제),경남,창원문성대학,본교,기존,사립,경남 창원시 두대동 196 창원문성대학,http://www.cmu.ac.kr
전문대학(3년제),경기,청강문화산업대학교,본교,기존,사립,경기 이천시 마장면 청강로 162 청강문화산업대학,www.ck.ac.kr
전문대학(3년제),울산,춘해보건대학교,본교,기존,사립,울산 울주군 웅촌면 대학길 9 춘해보건대학교,http://www.ch.ac.kr
전문대학(3년제),경북,선린대학교,본교,기존,사립,경북 포항시 북구 흥해읍 선린대학 ,www.sunlin.ac.kr
전문대학(3년제),경북,포항대학교,본교,기존,사립,경북 포항시 북구 흥해읍 죽천리 산 55,www.pohang.ac.kr
전문대학(3년제),강원,한림성심대학교,본교,기존,사립,강원 춘천시 동면 장학길 48,http://www.hsc.ac.kr/
전문대학(3년제),충남,혜전대학교,본교,기존,사립,충남 홍성군 홍성읍 혜전대학,www.hj.ac.kr
전문대학(3년제),경기,서정대학교,본교,기존,사립,경기 양주시 은현면 화합로 1049-56,www.seojeong.ac.kr
전문대학(3년제),경기,웅지세무대학교,본교,기존,사립,경기 파주시 탄현면 웅지로 144번길 73,www.wat.ac.kr
전문대학(3년제),경남,김해대학교,본교,기존,사립,경남 김해시 삼안로 112번길 198,www.gimhae.ac.kr
전문대학(3년제),경기,한국농수산대학,본교,기존,국립,경기 화성시 봉담읍 동화리 11-1,www.af.ac.kr
전문대학(3년제),강원,한국골프대학,본교,기존,사립,강원 횡성군 우천면 하대리 281번지,www.kg.ac.kr
전문대학(2년제),강원,원주대학,본교,폐교,국립,강원 원주시 흥업면 원주대학,
전문대학(2년제),경기,한국철도대학,본교,폐교,국립,경기 의왕시 월암동 374-18 한국철도대학,www.krc.ac.kr
전문대학(2년제),경남,경남도립거창대학,본교,기존,공립,경남 거창군 거창읍 거창대학로 72,www.gc.ac.kr
전문대학(2년제),경남,경남도립남해대학,본교,기존,공립,경남 남해군 남해읍 남변리 195,www.namhae.ac.kr
전문대학(2년제),충북,충북도립대학,본교,기존,공립,충북 옥천군 옥천읍 대학길 15,http://www.cpu.ac.kr
전문대학(2년제),인천,인천전문대학,본교,폐교,공립,인천 남구 석정로 165,www.icc.ac.kr
전문대학(2년제),인천,가천길대학,본교,폐교,사립,인천 연수구 함박뫼로 191 가천의과학대학교 ,www.gachon.ac.kr
전문대학(2년제),경북,경산1대학교,본교,기존,사립,경북 경산시 하양읍 대경로 105길 19,www.gs.ac.kr
전문대학(2년제),경북,영남외국어대학,본교,기존,사립,경북 경산시 남천면 남천로 780-9 ,www.yflc.ac.kr
전문대학(2년제),경기,경원전문대학,본교,폐교,사립,경기 성남시 수정구 복정동 경원전문대학,
전문대학(2년제),대구,계명문화대학교,본교,학교명 변경,사립,대구 달서구 달서대로 675 계명문화대학교,www.kmcu.ac.kr
전문대학(2년제),경기,계원예술대학교,본교,기존,사립,경기도 의왕시 계원대학로 66 (내손동) 계원예술대학교,www.kaywon.ac.kr
전문대학(2년제),경북,구미대학교,본교,기존,사립,경북 구미시 야은로 37,www.kumi.ac.kr
전문대학(2년제),충북,강동대학교,본교,기존,사립,충북 음성군 감곡면 대학길 278번지 강동대학교,http://www.gangdong.ac.kr
전문대학(2년제),경북,김천과학대학교,본교,기존,사립,경북 김천시 삼락동 김천과학대학,www.kcs.ac.kr
전문대학(2년제),경북,김천대학,본교,폐교,사립,경북 김천시 대학로 214 김천대학,www.gimcheon.ac.kr
전문대학(2년제),경북,대경대학교,본교,기존,사립,경북 경산시 자인면 대경대학 ,www.tk.ac.kr
전문대학(2년제),대구,대구공업대학교,본교,기존,사립,대구 달서구 본동 대구공업대학교,www.ttc.ac.kr
전문대학(2년제),대구,대구과학대학교,본교,기존,사립,대구 북구 영송로 47번지,www.tsu.ac.kr
전문대학(2년제),부산,대동대학교,본교,기존,사립,부산 금정구 동부곡로 27번길 88 대동대학교,www.daedong.ac.kr
전문대학(2년제),충북,대원대학교,본교,기존,사립,충북 제천시 대학로 316 대원대학교,www.daewon.ac.kr
전문대학(2년제),경기,동서울대학교,본교,기존,사립,경기 성남시 수정구 복정로 76  ,www.dsc.ac.kr
전문대학(2년제),대전,대전보건대학교,본교,기존,사립,대전광역시 동구 충정로 21 (가양2동 77-3),www.hit.ac.kr
전문대학(2년제),대전,혜천대학교,본교,기존,사립,대전 서구 혜천로 100,www.hu.ac.kr
전문대학(2년제),충남,아주자동차대학,본교,기존,사립,충남 보령시 주포면 아주자동차대학,motor.ac.kr
전문대학(2년제),인천,인천재능대학교,본교,기존,사립,인천 동구 재담길2(송림동 122번지),www.jeiu.ac.kr
전문대학(2년제),경북,경북과학대학교,본교,기존,사립,경북 칠곡군 기산면 지산로 634,www.kbsc.ac.kr
전문대학(2년제),부산,동명대학,본교,폐교,사립,부산 남구 용당동 동명대학,
전문대학(2년제),광주,동강대학교,본교,기존,사립,광주 북구 동문대로 50,www.dkc.ac.kr
전문대학(2년제),강원,동우대학,본교,폐교,사립,강원 속초시 도리원길 5 동우대학,www.duc.ac.kr
전문대학(2년제),부산,동의과학대학교,본교,기존,사립,부산 부산진구 양지5로 152번지 동의과학대학교,www.dit.ac.kr
전문대학(2년제),경기,두원공과대학교,본교,기존,사립,경기 안성시 죽산면 관음당길 51 두원공과대학교,doowon.ac.kr
전문대학(2년제),경북,문경대학교,본교,기존,사립,경북 문경시 호계면 대학길 161,www.mkc.ac.kr
전문대학(2년제),전북,백제예술대학교,본교,기존,사립,전북 완주군 봉동읍 백제예술대학 ,www.paekche.ac.kr
전문대학(2년제),전북,벽성대학,본교,기존,사립,전북 김제시 공덕면 유강3길 133 벽성대학,www.bs.ac.kr
전문대학(2년제),부산,부산경상대학교,본교,기존,사립,부산 연제구 고분로170 부산경상대학교,www.bsks.ac.kr
전문대학(2년제),부산,부산여자대학교,본교,기존,사립,부산 부산진구 양정1동 부산여자대학교,www.bwc.ac.kr
전문대학(2년제),부산,부산과학기술대학교,본교,기존,사립,부산 북구 구포3동 산48-6,bist.ac.kr
전문대학(2년제),경기,부천대학교,본교,기존,사립,경기 부천시 원미구 신흥로 56번길 25(심곡동) 부천대학교,www.bc.ac.kr
전문대학(2년제),경기,삼육의명대학,본교,폐교,사립,경기 남양주시 별내면 삼육의명대학,http://www.syc.edu
전문대학(2년제),강원,상지영서대학교,본교,기존,사립,강원 원주시 상지대길 84(우산동),www.sy.ac.kr
전문대학(2년제),경기,서울보건대학,본교,폐교,사립,경기 성남시 수정구 양지동 서울보건대학,www.shjc.ac.kr
전문대학(2년제),서울,서일대학교,본교,학교명 변경,사립,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,www.seoil.ac.kr
전문대학(2년제),부산,성심외국어대학,본교,폐교,사립,부산 해운대구 반송3동 성심외국어대학,www.sungsim.ac.kr
전문대학(2년제),경기,수원여자대학교,본교,기존,사립,경기 수원시 권선구 오목천동 수원여자대학 ,www.swc.ac.kr
전문대학(2년제),전남,순천제일대학교,본교,기존,사립,전남 순천시 덕월동 순천제일대학 산9-3번지,www.suncheon.ac.kr
전문대학(2년제),서울,숭의여자대학교,본교,기존,사립,서울특별시 중구 소파로2길 10(예장동),www.sewc.ac.kr
전문대학(2년제),경기,신구대학교,본교,기존,사립,경기 성남시 중원구 광명로 377,www.shingu.ac.kr
전문대학(2년제),경기,신흥대학교,본교,기존,사립,경기 의정부시 호암로 95번지,www.shc.ac.kr
전문대학(2년제),경기,신안산대학교,본교,기존,사립,경기 안산시 단원구 신안산대학로 135,www.sau.ac.kr
전문대학(2년제),경남,양산대학교,본교,기존,사립,경남 양산시 명곡로 321번지 양산대학,www.yangsan.ac.kr
전문대학(2년제),경기,여주대학교,본교,기존,사립,경기 여주군 여주읍 세종로 338번지,www.yit.ac.kr
전문대학(2년제),충남,천안연암대학,본교,기존,사립,충남 천안시 성환읍 연암로 313 천안연암대학,www.yonam.ac.kr
전문대학(2년제),대구,영남이공대학교,본교,기존,사립,대구광역시 남구 현충로 170(대명동),www.ync.ac.kr
전문대학(2년제),강원,세경대학교,본교,기존,사립,강원 영월군 영월읍 하송로 197,www.saekyung.ac.kr
전문대학(2년제),대구,영진전문대학,본교,기존,사립,대구 북구 복현로 35(복현동 218번지),http://www.yjc.ac.kr
전문대학(2년제),세종,한국영상대학교,본교,학교명 변경,사립,세종특별자치시 장군면 대학길 300 한국영상대학교,www.pro.ac.kr
전문대학(2년제),경기,유한대학교,본교,기존,사립,경기 부천시 소사구 괴안동 185-34(경인로 590),www.yuhan.ac.kr
전문대학(2년제),서울,인덕대학교,본교,기존,사립,서울 노원구 초안산로 12,www.induk.ac.kr
전문대학(2년제),경기,장안대학교,본교,기존,사립,경기 화성시 봉담읍 삼천병마로 1182 장안대학교,www.jangan.ac.kr
전문대학(2년제),전남,전남과학대학교,본교,기존,사립,전남 곡성군 옥과면 대학로 113,www.chunnam-c.ac.kr
전문대학(2년제),전북,전주비전대학교,본교,기존,사립,전북 전주시 완산구 효자동2가 전주비전대학교,www.jvision.ac.kr
전문대학(2년제),전북,전북과학대학교,본교,기존,사립,전북 정읍시 시기3동 전북과학대학교,www.jbsc.ac.kr
전문대학(2년제),제주,제주관광대학교,본교,기존,사립,제주특별자치도 제주시 애월읍 광령리 2535 제주관광대학교,www.ctc.ac.kr
전문대학(2년제),광주,조선이공대학교,본교,기존,사립,광주 동구 필문대로 309-1 조선이공대학교,www.cst.ac.kr
전문대학(2년제),충북,충북보건과학대학교,본교,기존,사립,충북 청원군 내수읍 덕암리 산 4번지,www.chsu.ac.kr
전문대학(2년제),대전,우송공업대학,본교,폐교,사립,대전 동구 자양동 우송공업대학,www.wst.ac.kr
전문대학(2년제),경남,창신대학,본교,폐교,사립,경남 창원시 마산회원구 팔용로 262 창신대학 ,www.csc.ac.kr
전문대학(2년제),충남,백석문화대학교,본교,기존,사립,충남 천안시 안서동 백석문화대학,www.bscu.ac.kr
전문대학(2년제),대전,대덕대학교,본교,기존,사립,대전광역시 유성구 가정북로 68 대덕대학교,www.ddc.ac.kr
전문대학(2년제),충북,충청대학교,본교,기존,사립,충북 청원군 강내면 충청대학,www.ok.ac.kr
전문대학(2년제),강원,강원관광대학교,본교,기존,사립,강원 태백시 황지동 439번지,www.kt.ac.kr
전문대학(2년제),경기,국제대학교,본교,기존,사립,경기 평택시 장안웃길 56번지,www.kookje.ac.kr
전문대학(2년제),제주,제주한라대학교,본교,기존,사립,제주특별자치도 제주시 한라대학로 38,www.chu.ac.kr
전문대학(2년제),서울,한양여자대학교,본교,기존,사립,서울 성동구 행당동 살곶이길 200,www.hywoman.ac.kr
전문대학(2년제),전남,한영대학,본교,기존,사립,전남 여수시 여서동 한영대학,www.hanyeong.ac.kr
전문대학(2년제),경기,경기과학기술대학교,본교,기존,사립,경기 시흥시 경기과기대로 269 (정왕동 2121-3),www.gtec.ac.kr
전문대학(2년제),부산,부산예술대학교,본교,기존,사립,부산 남구 대연5동 1552,www.busanarts.ac.kr
